iter	Passed	Remaining
569	5085	3836
570	5094	3827
571	5103	3818
572	5111	3809
573	5119	3799
574	5127	3790
575	5135	3780
576	5144	3771
577	5153	3762
578	5161	3752
579	5169	3743
580	5177	3734
581	5187	3725
582	5195	3716
583	5203	3706
584	5212	3697
585	5220	3687
586	5228	3678
587	5236	3668
588	5244	3659
589	5252	3650
590	5260	3640
591	5269	3631
592	5278	3622
593	5286	3613
594	5293	3603
595	5302	3594
596	5310	3585
597	5318	3575
598	5326	3565
599	5334	3556
600	5342	3546
601	5350	3537
602	5358	3527
603	5366	3518
604	5374	3508
605	5384	3500
606	5392	3491
607	5401	3482
608	5409	3472
609	5417	3463
610	5425	3454
611	5433	3445
612	5441	3435
613	5449	3425
614	5457	3416
615	5465	3407
616	5473	3397
617	5482	3388
618	5490	3379
619	5498	3369
620	5506	3360
621	5514	3351
622	5522	3341
623	5530	3332
624	5538	3323
625	5546	3313
626	5554	3304
627	5562	3295
628	5570	3285
629	5579	3276
630	5588	3268
631	5596	3258
632	5604	3249
633	5613	3240
634	5621	3230
635	5628	3221
636	5636	3212
637	5644	3202
638	5652	3193
639	5661	3184
640	5669	3175
641	5677	3166
642	5685	3156
643	5694	3147
644	5701	3138
645	5709	3128
646	5717	3119
647	5725	3110
648	5733	3100
649	5741	3091
650	5749	3082
651	5757	3072
652	5765	3063
653	5773	3054
654	5781	3045
655	5791	3036
656	5799	3027
657	5806	3018
658	5814	3008
659	5822	2999
660	5830	2990
661	5838	2980
662	5846	2971
663	5854	2962
664	5862	2953
665	5870	2943
666	5878	2934
667	5886	2925
668	5894	2916
669	5902	2907
670	5910	2897
671	5918	2888
672	5926	2879
673	5933	2870
674	5941	2860
675	5950	2851
676	5958	2842
677	5966	2833
678	5974	2824
679	5982	2815
680	5990	2806
681	5998	2797
682	6007	2788
683	6015	2778
684	6024	2770
685	6032	2761
686	6041	2752
687	6049	2743
688	6058	2734
689	6069	2726
690	6077	2717
691	6086	2708
692	6095	2700
693	6104	2691
694	6114	2683
695	6123	2674
696	6131	2665
697	6141	2657
698	6150	2648
699	6158	2639
700	6167	2630
701	6177	2622
702	6185	2613
703	6195	2604
704	6204	2596
705	6212	2587
706	6221	2578
707	6229	2569
708	6237	2559
709	6245	2551
710	6253	2542
711	6261	2532
712	6270	2523
713	6278	2514
714	6286	2505
715	6294	2496
716	6302	2487
717	6310	2478
718	6319	2469
719	6327	2460
720	6335	2451
721	6342	2442
722	6350	2433
723	6358	2424
724	6366	2415
725	6375	2406
726	6383	2397
727	6392	2388
728	6401	2379
729	6409	2370
730	6417	2361
731	6425	2352
732	6433	2343
733	6441	2334
734	6448	2325
735	6456	2315
736	6464	2306
737	6472	2297
738	6481	2289
739	6489	2280
740	6497	2270
741	6504	2261
742	6512	2252
743	6520	2243
744	6528	2234
745	6536	2225
746	6544	2216
747	6552	2207
748	6560	2198
749	6568	2189
750	6576	2180
751	6585	2171
752	6593	2162
753	6601	2153
754	6609	2144
755	6618	2136
756	6626	2127
