iter	Passed	Remaining
895	8020	930
896	8024	921
897	8028	911
898	8036	902
899	8039	893
900	8044	883
901	8050	874
902	8053	865
903	8060	856
904	8068	846
905	8074	837
906	8079	828
907	8084	819
908	8090	809
909	8098	800
910	8104	791
911	8108	782
912	8116	773
913	8123	764
914	8128	755
915	8132	745
916	8139	736
917	8145	727
918	8150	718
919	8154	709
920	8158	699
921	8161	690
922	8164	681
923	8167	671
924	8171	662
925	8175	653
926	8178	644
927	8182	634
928	8184	625
929	8187	616
930	8190	607
931	8193	597
932	8195	588
933	8198	579
934	8201	570
935	8204	561
936	8207	551
937	8210	542
938	8213	533
939	8216	524
940	8219	515
941	8222	506
942	8226	497
943	8229	488
944	8233	479
945	8237	470
946	8241	461
947	8245	452
948	8249	443
949	8254	434
950	8258	425
951	8266	416
952	8270	407
953	8274	398
954	8281	390
955	8287	381
956	8291	372
957	8296	363
958	8299	354
959	8303	345
960	8306	337
961	8309	328
962	8312	319
963	8315	310
964	8318	301
965	8321	292
966	8324	284
967	8327	275
968	8330	266
969	8333	257
970	8336	248
971	8339	240
972	8342	231
973	8346	222
974	8349	214
975	8352	205
976	8356	196
977	8359	188
978	8362	179
979	8365	170
980	8368	162
981	8371	153
982	8374	144
983	8377	136
984	8380	127
985	8383	119
986	8387	110
987	8390	101
988	8393	93
989	8396	84
990	8398	76
991	8401	67
992	8404	59
993	8407	50
994	8410	42
995	8413	33
996	8415	25
997	8418	16
998	8421	8
999	8424	0
9
996	9766	29
997	9772	19
998	9779	9
999	9787	0

971	12044	346
972	12052	334
973	12058	321
974	12069	309
975	12076	296
976	12083	284
977	12089	271
978	12111	259
979	12118	247
980	12123	234
981	12129	222
982	12134	209
983	12143	197
984	12148	184
985	12153	172
986	12161	160
987	12167	147
988	12174	135
989	12179	123
990	12187	110
991	12195	98
992	12203	86
993	12209	73
994	12222	61
995	12233	49
996	12240	36
997	12248	24
998	12259	12
999	12266	0
78	18178	389
979	18188	371
980	18202	352
981	18209	333
982	18225	315
983	18233	296
984	18242	277
985	18251	259
986	18282	240
987	18296	222
988	18305	203
989	18327	185
990	18355	166
991	18393	148
992	18416	129
993	18434	111
994	18446	92
995	18458	74
996	18466	55
997	18482	37
998	18495	18
999	18521	0
867	17
999	17907	0
