iter	Passed	Remaining
270	3669	9872
271	3682	9856
272	3695	9841
273	3708	9825
274	3720	9809
275	3734	9795
276	3746	9779
277	3759	9764
278	3772	9748
279	3784	9732
280	3797	9716
281	3810	9701
282	3823	9686
283	3836	9672
284	3849	9657
285	3862	9641
286	3874	9626
287	3887	9610
288	3900	9595
289	3913	9581
290	3926	9566
291	3938	9550
292	3954	9543
293	3967	9528
294	3980	9512
295	3993	9498
296	4006	9482
297	4019	9467
298	4031	9451
299	4044	9436
300	4057	9421
301	4069	9406
302	4083	9392
303	4096	9378
304	4108	9362
305	4121	9347
306	4133	9331
307	4146	9316
308	4158	9300
309	4171	9284
310	4184	9269
311	4196	9254
312	4209	9240
313	4222	9225
314	4235	9209
315	4247	9194
316	4260	9178
317	4272	9163
318	4285	9148
319	4298	9135
320	4311	9120
321	4324	9105
322	4337	9090
323	4349	9075
324	4362	9060
325	4375	9045
326	4387	9030
327	4401	9016
328	4413	9001
329	4426	8986
330	4438	8971
331	4451	8956
332	4464	8942
333	4476	8926
334	4489	8911
335	4502	8897
336	4514	8882
337	4528	8868
338	4541	8854
339	4553	8839
340	4566	8825
341	4579	8811
342	4592	8796
343	4604	8781
344	4617	8766
345	4630	8751
346	4642	8736
347	4656	8723
348	4668	8707
349	4680	8693
350	4693	8678
351	4706	8664
352	4719	8650
353	4732	8636
354	4745	8622
355	4758	8607
356	4771	8594
357	4784	8579
358	4797	8565
359	4810	8551
360	4823	8537
361	4835	8522
362	4848	8508
363	4861	8493
364	4873	8478
365	4886	8464
366	4898	8449
367	4911	8434
368	4924	8420
369	4937	8406
370	4949	8392
371	4962	8377
372	4974	8362
373	4987	8348
374	5000	8334
375	5013	8320
376	5026	8305
377	5038	8291
378	5052	8279
379	5066	8265
380	5078	8251
381	5091	8237
382	5103	8222
383	5116	8207
384	5128	8191
385	5140	8177
386	5154	8164
387	5167	8151
388	5181	8137
389	5193	8123
390	5206	8109
391	5219	8094
392	5231	8080
393	5243	8065
394	5256	8051
395	5269	8037
396	5281	8022
397	5294	8008
398	5308	7995
399	5320	7981
400	5333	7966
401	5345	7952
402	5358	7937
403	5370	7923
404	5384	7910
405	5396	7895
406	5408	7880
